BIAS TYPE,Category,Geometry,Incident Date,Number of Records,OFFENSE GROUP,OFFENSE CATEGORY,Reported Offense,Neighborho,Precinct
Disability Only,CRIME WITH BIAS ELEMENTS,POLYGON,4/9/2018,1,Property,Theft,THEFT-OTH,MOUNT BAKER,S
Ethnicity Only,CRIME WITH BIAS ELEMENTS,POLYGON,4/5/2018,1,Society,Threats,THREATS-OTHER,SODO,S
Ethnicity Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/25/2018,1,Property,Theft,THEFT-SHOPLIFT,HILLMAN CITY,S
Ethnicity Only,CRIME WITH BIAS ELEMENTS,POLYGON,1/23/2018,1,Society,Trespass,TRESPASS,HILLMAN CITY,S
Gender Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/31/2018,1,Person,Assault,ASSLT-NONAGG,GEORGETOWN,S
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,5/10/2018,1,Person,Assault,ASSLT-AGG-WEAPON,CLAREMONT/RAINIER VISTA,S
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/16/2018,1,Society,Harassment,HARASSMENT,CLAREMONT/RAINIER VISTA,S
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,4/2/2018,1,Person,Assault,ASSLT-AGG-WEAPON,RAINIER BEACH,S
Multiple Categories,CRIME WITH BIAS ELEMENTS,POLYGON,4/1/2018,1,Person,Assault,ASSLT-NONAGG,NEW HOLLY,S
Multiple Categories,CRIME WITH BIAS ELEMENTS,POLYGON,8/22/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,SOUTH BEACON HILL,S
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/6/2018,1,Society,Threats,THREATS-KILL,SODO,S
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/2/2018,1,Society,Threats,THREATS-OTHER,SODO,S
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/16/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,GEORGETOWN,S
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,4/19/2018,1,Society,Threats,THREATS-OTHER,SODO,S
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/24/2018,1,Society,Threats,THREATS-WEAPON,GEORGETOWN,S
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,5/25/2018,1,Person,Assault,ASSLT-NONAGG,MID BEACON HILL,S
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/13/2018,1,Person,Robbery,ROBBERY-BUSINESS-BODYFORCE,NORTH BEACON HILL,S
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/11/2018,1,Property,Theft,THEFT OF SERVICES,MOUNT BAKER,S
